,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Mid-Way Through 2018-19 Season,Mid-Way Through 2018-19 Season,,,,,,,,,,,,,,,,,,,,
Step,League,"2021-22
Position",2021-22 Promoted,"2022-23
4,Isthmian League South East,1,2,4,1,Beckenham Town,,,"3,526","4,012","4,070","4,250","4,318",,"4,386","4,421","5,034","5,612","5,698",,"6,322","6,436","6,550",738,,,,
4,Isthmian League South East,1,2,7,1,Sheppey United,,,"3,328","3,856","3,885","4,071","4,272",,"4,326","4,341","5,111","5,623","5,697",,"6,111","6,331","6,438",634,,,,
4,Isthmian League South East,1,2,12,1,Littlehampton Town,,,"4,038","4,349","4,370","4,469",,,"4,592","4,644","5,185","7,803","7,875",,"8,183","8,296","7,301",421,,,,
4,Northern League East Div.,1,2,12,1,Grimsby Borough,,,"4,993","5,556","5,571","5,748","5,770",,"5,853","5,872","6,217","6,522","6,578",,"6,844","7,117","7,210",539,,,,
4,Northern League East Div.,2,2,13,1,Consett,,,"8,665","9,850","9,867","10,373","10,445",,"10,474","10,975","11,481","11,968","12,072",,"12,438","12,552","12,637",480,,,,
4,Northern League Midlands Div.,1,2,8,1,Harborough Town,,,"1,576","1,937","1,961","2,100","2,150",,"2,245","2,288","2,983","3,357","3,464",,"3,995","4,305","4,479",841,,,,
4,Northern League Midlands Div.,2,2,9,1,Boldmere St. Michaels,,,"4,944","5,509","5,599","5,834","5,867",,"5,904","5,925","6,387","6,646","6,761",,"7,094","7,241","7,362",480,,,,
4,Northern League Midlands Div.,2,2,13,1,Hinckley LRFC,,,"1,698","2,055","2,149","2,338",,,"2,452","2,461","2,793","2,934","2,994",,"3,161","3,271","3,369",277,,,,
4,Northern League Midlands Div.,2,2,16,1,Gresley,,,"7,270","7,836","7,846","8,104","8,199",,"8,264","8,290","8,585","8,923","8,979",,"9,226","9,355","9,422",376,,,,
4,Northern League West Div.,1,2,16,1,Hanley Town,,,"2,083","2,074","2,131","3,339","3,709",,"3,999","4,548","6,942","7,907","8,073",,"8,869","9,026","9,071",953,,,,
