ID,Mass,MassUpper,MassLower,Width,WidthUpper,WidthLower,I,G,P,C,Anti,Charge,Rank,Status,Name,Quarks
-11116,1950,50,50,300,100,100,2-Mar,5,1,5,1,3,3,1,Delta(1930),DDD
11212,1860,60,20,250,70,70,2-Mar,5,-1,5,1,0,3,0,Delta(1900),udd
-11212,1860,60,20,250,70,70,2-Mar,5,1,5,1,0,3,0,Delta(1900),UDD
11216,1950,50,50,300,100,100,2-Mar,5,-1,5,1,0,3,1,Delta(1930),udd
-11216,1950,50,50,300,100,100,2-Mar,5,1,5,1,0,3,1,Delta(1930),UDD
12112,1440,30,30,350,100,100,2-Jan,5,1,5,1,0,4,0,N(1440),udd
-12112,1440,30,30,350,100,100,2-Jan,5,-1,5,1,0,4,0,N(1440),UDD
12114,1710,20,20,300,80,80,2-Mar,5,-1,5,1,0,4,1,Delta(1700),udd
-12114,1710,20,20,300,80,80,2-Mar,5,1,5,1,0,4,1,Delta(1700),UDD
12116,1685,5,5,120,10,5,2-Jan,5,1,5,1,0,4,1,N(1680),udd
-12116,1685,5,5,120,10,5,2-Jan,5,-1,5,1,0,4,1,N(1680),UDD
12122,1860,60,20,250,70,70,2-Mar,5,-1,5,1,3,3,0,Delta(1900),uud
-12122,1860,60,20,250,70,70,2-Mar,5,1,5,1,-3,3,0,Delta(1900),UUD
12126,1950,50,50,300,100,100,2-Mar,5,-1,5,1,3,3,1,Delta(1930),uud
-12126,1950,50,50,300,100,100,2-Mar,5,1,5,1,-3,3,1,Delta(1930),UUD
12212,1440,30,30,350,100,100,2-Jan,5,1,5,1,3,4,0,N(1440),uud
-12212,1440,30,30,350,100,100,2-Jan,5,-1,5,1,-3,4,0,N(1440),UUD
12214,1710,20,20,300,80,80,2-Mar,5,-1,5,1,3,4,1,Delta(1700),uud
-12214,1710,20,20,300,80,80,2-Mar,5,1,5,1,-3,4,1,Delta(1700),UUD
12216,1685,5,5,120,10,5,2-Jan,5,1,5,1,3,4,1,N(1680),uud
-12216,1685,5,5,120,10,5,2-Jan,5,-1,5,1,-3,4,1,N(1680),UUD
12222,1860,60,20,250,70,70,2-Mar,5,-1,5,1,6,3,0,Delta(1900),uuu
-12222,1860,60,20,250,70,70,2-Mar,5,1,5,1,-6,3,0,Delta(1900),UUU
12224,1710,20,20,300,80,80,2-Mar,5,-1,5,1,6,4,1,Delta(1700),uuu
-12224,1710,20,20,300,80,80,2-Mar,5,1,5,1,-6,4,1,Delta(1700),UUU
12226,1950,50,50,300,100,100,2-Mar,5,-1,5,1,6,3,1,Delta(1930),uuu
-12226,1950,50,50,300,100,100,2-Mar,5,1,5,1,-6,3,1,Delta(1930),UUU
13112,1660,20,20,200,100,100,1,5,1,5,1,-3,3,0,Sigma(1660),dds
-13112,1660,20,20,200,100,100,1,5,-1,5,1,3,3,0,Sigma(1660),DDS
13114,1675,10,10,70,30,30,1,5,-1,5,1,-3,4,1,Sigma(1670),dds
-13114,1675,10,10,70,30,30,1,5,1,5,1,3,4,1,Sigma(1670),DDS
13116,1915,20,15,120,40,40,1,5,1,5,1,-3,4,1,Sigma(1915),dds
